Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month, REPORTED Total Monthly Potable Water Production 2014/2015 , REPORTED Total Monthly Potable Water Production 2013 ,REPORTED Monthly CII 2014/2015 (Subset of REPORTED Total Monthly Potable Water Production 2014/2015),REPORTED Monthly Ag Use 2014/2015 (This value is removed from REPORTED Total Monthly Potable Water Production 2014/2015 by Water Board staff to obtain CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons),REPORTED Monthly Ag Use 2013 (This value is removed from REPORTED Total Monthly Potable Water Production 2013 by Water Board Staff to obtain CALCULATED Total Monthly Potable Water Production 2013 Gallons),Optional - REPORTED Recycled Water,REPORTED Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Conservation Standard (starting in June 2015),Supplier has Agricultural Water Use Exclusion Certification (list of received certifications available at: http://www.waterboards.ca.gov/water_issues/programs/conservation_portal/agriculture/),CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons (Values calculated by Water Board staff. REPORTED Total Monthly Potable Water Production 2014/2015 - REPORTED Monthly Ag Use 2014/2015; converted to gallons.),CALCULATED Total Monthly Potable Water Production 2013 Gallons (Values calculated by Water Board staff. REPORTED Total Monthly Potable Water Production 2013 - REPORTED Monthly Ag Use 2013; converted to gallons.),CALCULATED Monthly CII 2014/2015 (Subset of CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons),CALCULATED R-GPCD 2014/2015 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections,Hydrologic Region
Amador Water Agency,2,Yes,15-Feb,51.18,60.47,,,,,MG,"Single family and multi family residential use used. Not included is commercial, industrial and institutional. Also not included is our wholesale customers and the backwash water used to clean the filters at the plant as this water never sees the distribution system.  Our population number was approved by our state regulator in the 2014 annual report.",23347,44,Violations: 1-verbal warning 2-written warning 3-water restrictor for 1 week 4-water restrictor for remainder of the drought,,NULL,No,"51,180,000","60,470,000",Null,43.8,56,No Correction,San Joaquin River
Amador Water Agency,2,Yes,15-Jan,55.38,65.72,,,,,MG,"Single family and multi family residential use used. Not included is commercial, industrial and institutional. Also not included is our wholesale customers and the backwash water used to clean the filters at the plant as this water never sees the distribution system.  Our population number was approved by our state regulator in the 2014 annual report.",23347,43,Violations: 1-verbal warning 2-written warning 3-water restrictor for 1 week 4-water restrictor for remainder of the drought ,,NULL,No,"55,380,000","65,720,000",Null,42.8,56,No Correction,San Joaquin River
Amador Water Agency,2,Yes,14-Dec,65.04,79.28,,,,,MG,"Single family and multi family residential use used. Not included is commercial, industrial and institutional. Also not included is our wholesale customers and the backwash water used to clean the filters at the plant as this water never sees the distribution system.  Our population number was approved by our state regulator in the 2014 annual report.",23347,49,Violations: 1-verbal warning 2-written warning 3-water restrictor for 1 week 4-water restrictor for remainder of drought,"Public meetings, notices to customers, classroom presentations, door hangers and signs through out county.",NULL,No,"65,040,000","79,280,000",Null,48.5,54,No Correction,San Joaquin River
Amador Water Agency,2,Yes,14-Nov,55.29,69.69,,,,,MG,,23347,52,"Violations: 1- Verbal warning, 2. Written warning, 3. Water restrictor for 1 week, 4. Water restrictor for remainder of drought",,NULL,No,"55,290,000","69,690,000",Null,52.1,66,No Correction,San Joaquin River
Amador Water Agency,2,Yes,14-Oct,88.63,94.46,,,,,MG,"Single and multifamily residential use used. Not used was commercial, industrial and institutional as well as wholesale accounts. Backwash water that cleans the filters and doesnt enter the distribution system was also not included.  Population was approved in 2014 annual report by state regulator.",23347,77,"Verbal warning, written warning, water restrictor for 1 week and a water restrictor for duration of drought.","Public meetings, classroom presentations, signs, door hangers, notices to customers.",NULL,No,"88,630,000","94,460,000",Null,77.1,63,No Correction,San Joaquin River
Amador Water Agency,2,Yes,14-Sep,113.14,148.58,,,,,MG,"Per my conversation with Jessica Bean at Waterboards on 6/8/2015, September reporting looked low for total water produced. I found the error and asked permission to correct the mistake. As usual this production amount includes single and multi family residential use. It does not include Commercial, Industrial or Institutional accounts. Wholesale accounts are also backed out as well as backwash water.  ",23347,105.7,"Verbal Warning, Written warning, Water restrictor for 1 week and then Water restrictor for remainder of drought.",,NULL,No,"113,140,000","148,580,000",Null,105.8,65.48,No Correction,San Joaquin River
Amador Water Agency,2,Yes,14-Aug,114.51,141.69,,,,,MG,"Included is single family and multi family residential use. Commercial, Industrial and Institutional not included nor are wholesale customers. Backwash water to clean filters at treatment plants has been backed out since it never leaves the plant. Population approved in 2014 annual water report by state regulator. ",23347,103,"Verbal warning, Written warning, Water restrictor 1 week. Water restrictor for duration of drought. ","Public meetings, Notices to customers, Door hangers, Signs and presentations at schools. ",NULL,No,"114,510,000","141,690,000",Null,102.8,65,No Correction,San Joaquin River
Amador Water Agency,2,Yes,14-Jul,133.28,169.4,,,,,MG,"Single and multi family use included. Not included is wholesale customers use, commercial, Industrial and Institutional use. Backwash water from the treatment plants used to clean the filters is not included as it never goes to the distribution system. Population approved in our 2014 annual report by state regulator.",23347,131,"Verbal warnings, written warnings, water restrictors for 1 week and water restrictors for remainder of drought.","Public meetings, Notices to customers, Signs, and Door hangers",NULL,No,"133,280,000","169,400,000",Null,130.7,71,No Correction,San Joaquin River
Amador Water Agency,2,Yes,14-Jun,129.31,126.82,,,,,MG,"Usage included are single and multifamily residential. Not included are commercial, industrial or institutional, wholesale customers, or the backwash water used to clean the filters at the treatment plants. This water never heads to the distribution system. Population number used reported in the 2014 annual report approved by state regulator.",23347,127,Violations: 1. Verbal warning 2. Written warning 3. Water restrictor for 1 week  4. Water restrictor for duration of drought. ,"Public meetings, Door hangers, Notices to Customers,  Signs ",NULL,No,"129,310,000","126,820,000",Null,127.4,69,No Correction,San Joaquin River
California Water Service Company Oroville,2,Yes,15-Aug,369.7,510.1,245.5,,,,AF,CII quantity of water includes all non-residential sales,10770,97.7,,,28%,No,"120,467,273","166,216,813","79,996,525",97.8,27.1,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,15-Jul,317.2,467,138.9,,,,AF,CII quantity of water includes all non-residential sales.,10707,127.3,,,28%,No,"103,360,073","152,172,616","45,260,763",127.4,40.9,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,15-Jun,217.8,322,85.8,,,,AF,CII quantity of water includes all non-residential sales.,10640,107.6,,,28%,No,"70,970,441","104,924,159","27,958,052",107.6,48.4,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,15-May,192,326.1,77.6,,,,AF,CII quantity of water includes all non-residential sales.,10640,88.4,,,NULL,No,"62,563,474","106,260,150","25,286,071",88.4,46.6,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,15-Apr,153.1,253.5,,,,,AF,,10628,74.8,,,NULL,No,"49,887,853","82,603,337",Null,74.8,47.8,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,15-Mar,138.4,176.1,,,,,AF,,10626,68.6,,,NULL,No,"45,097,837","57,382,436",Null,68.6,50.1,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,15-Feb,100,130,,,,,AF,,10640,57,,,NULL,No,"32,585,143","42,360,686",Null,56.9,52,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,15-Jan,111,163,,,,,AF,,10640,59,,,NULL,No,"36,169,508","53,113,783",Null,59.2,54,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,14-Dec,117,146,,,,,AF,,11201,56,,,NULL,No,"38,124,617","47,574,308",Null,56,51,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,14-Nov,126,180,,,,,AF,,11196,48,,,NULL,No,"41,057,280","58,653,257",Null,47.7,39,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,14-Oct,225,260,,,,,AF,,11208,70,,,NULL,No,"73,316,571","84,721,371",Null,69.6,33,No Correction,Sacramento River
California Water Service Company Oroville,2,Yes,14-Sep,322,371,,,,,AF,,11121,88,,,NULL,No,"104,924,159","120,890,879",Null,88.1,28,No Correction,Sacramento River
California Water Service Company Oroville,2,No,14-Aug,433,510,,,,,AF,,10370,,,,NULL,No,"141,093,668","166,184,228",Null,136.1,31,No Correction,Sacramento River
California Water Service Company Oroville,2,No,14-Jul,378,467,,,,,AF,,10370,,,,NULL,No,"123,171,839","152,172,616",Null,172.4,45,No Correction,Sacramento River
California Water Service Company Oroville,2,No,14-Jun,281,322,,,,,AF,,10370,,,,NULL,No,"91,564,251","104,924,159",Null,147.2,50,No Correction,Sacramento River
Trabuco Canyon Water District,2,Yes,15-Aug,238,354,60,,,64,AF,,13175,89,,Commercial Agriculture used 31.2 AF,28%,No,"77,552,640","115,351,405","19,551,086",89.2,47,No Correction,South Coast
Trabuco Canyon Water District,2,,15-Jul,212,354,80,,,91,AF,"Revised report submitted to correct CII Water value only, all other data remained the same as originally submitted.",13175,117,,Commercial Agriculture used 33.9 AF,28%,No,"69,080,503","115,351,405","26,068,114",116.7,69,No Correction,South Coast
Trabuco Canyon Water District,2,Yes,15-Jun,217,293,47,,,32,AF,,13175,92,,Commercial Agricultural Water = 16 AF (District is choosing to not certify ag use at this time). Commercial ag users have implemented a plan to use recycled water as it becomes available.,28%,No,"70,709,760","95,474,468","15,315,017",91.2,51,No Correction,South Coast
Trabuco Canyon Water District,2,Yes,15-May,208,254,13,,,63,AF,Commercial Agricultural used 9 AF.  ,13175,100,,,NULL,No,"67,777,097","82,766,262","4,236,069",99.6,60,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,15-Apr,250,215,,,,64,AF,Commercial Ag used 19 AF,13175,134,,,NULL,No,"81,462,857","70,058,057",Null,134,65,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,15-Mar,214,189,,,,39,AF,Commercial Ag used 10 AF,13175,90,,,NULL,No,"69,732,205","61,585,920",Null,90.5,53,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,15-Feb,175,130,,,,28,AF,Commercial Ag used 21 AF,13175,91,,,NULL,No,"57,024,000","42,360,686",Null,91.2,59,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,15-Jan,172,159,,,,23,AF,Commercial Ag used 19 AF,13175,92,,,NULL,No,"56,046,445","51,810,377",Null,91.9,67,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,14-Dec,138,190,,,,46,AF,Commercial Ag used 22 AF,13175,101,,,NULL,No,"44,967,497","61,911,771",Null,101.3,92,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,14-Nov,231,215,,,,81,AF,Commercial Ag used 20 AF,13175,126,,,NULL,No,"75,271,680","70,058,057",Null,125.7,66,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,14-Oct,299,277,,,,119,AF,Commercial Ag used 42 AF,13175,164,,,NULL,No,"97,429,577","90,260,845",Null,164.6,69,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,14-Sep,296,332,,,,156,AF,Commercial Ag used 39 AF,13175,148,,,NULL,No,"96,452,022","108,182,674",Null,148.9,61,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,14-Aug,329,354,,,,106,AF,Commercial Ag used 36 AF,13175,149,,,NULL,No,"107,205,119","115,351,405",Null,149.6,57,No Correction,South Coast
Trabuco Canyon Water District,1,Yes,14-Jul,372,354,,,,120,AF,Commercial Ag used 34 AF,13175,175,,,NULL,No,"121,216,731","115,351,405",Null,175.1,59,No Correction,South Coast
Trabuco Canyon Water District,,No,14-Jun,304,293,,,,99,AF,Commercial Ag used 13 AF,13175,145,,,NULL,No,"99,058,834","95,474,468",Null,145.4,58,No Correction,South Coast
Otay Water District,2,Yes,15-Aug,2585.6,3455.5,1101,1.2,2.7,,AF,,217600,85.4,,,20%,No,"842,521,450","1,125,979,606","358,762,421",82.4,66,No Correction,South Coast
Otay Water District,2,Yes,15-Jul,2368.5,3347,1106.8,1.5,2.8,,AF,,217600,77.4,,,20%,No,"771,779,105","1,090,624,726","360,652,359",75.5,66,No Correction,South Coast
Otay Water District,2,Yes,15-Jun,2386.3,3220,603.8,1.1,3.2,,AF,,217700,70.1,,,20%,No,"777,579,260","1,049,241,595","196,749,092",70.2,59,No Correction,South Coast
Otay Water District,2,Yes,15-May,2130.4,2923.7,850.6,1.3,2.7,,AF,,217600,70.1,,,NULL,No,"694,193,880","952,691,817","277,169,224",66.9,65,No Correction,South Coast
Otay Water District,2,Yes,15-Apr,2528.3,2680.8,,,,,AF,,217600,85.7,,,NULL,No,"823,850,163","873,542,506",Null,85.8,68,No Correction,South Coast
Otay Water District,2,Yes,15-Mar,2314,2244.8,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,75.8,,,NULL,No,"754,020,202","731,471,283",Null,76,68,No Correction,South Coast
Otay Water District,2,Yes,15-Feb,2017.5,1793.3,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,76,,,NULL,No,"657,405,254","584,349,364",Null,75.5,70,No Correction,South Coast
Otay Water District,2,Yes,15-Jan,1816.8,2089.4,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,67.1,,,NULL,No,"592,006,873","680,833,972",Null,66.7,76,No Correction,South Coast
Otay Water District,2,Yes,14-Dec,1706.3,2089.4,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,58.5,,,NULL,No,"556,000,290","680,833,972",Null,58.5,71,No Correction,South Coast
Otay Water District,2,Yes,14-Nov,2434.4,2377.2,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,81.6,,,NULL,No,"793,252,714","774,614,012",Null,81.4,67,No Correction,South Coast
Otay Water District,2,Yes,14-Oct,3047.6,2877.3,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,96.1,,,NULL,No,"993,064,809","937,572,311",Null,95.7,65,No Correction,South Coast
Otay Water District,2,Yes,14-Sep,3149,3341.5,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,104.6,,,NULL,No,"1,026,106,144","1,088,832,543",Null,105.3,67,No Correction,South Coast
Otay Water District,2,Yes,14-Aug,3276.4,3455.5,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,103.5,,,NULL,No,"1,067,619,615","1,125,979,606",Null,102.9,65,No Correction,South Coast
Otay Water District,2,Yes,14-Jul,3491.9,3347,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,113.4,,,NULL,No,"1,137,840,598","1,090,624,726",Null,113,67,No Correction,South Coast
Otay Water District,2,Yes,14-Jun,3269.4,3220,,,,,AF,The residential GPCD changed because the original usage number failed to include a classification of customers called Master-Meter.  This classification includes condos and apartments.,217600,109.6,,,NULL,No,"1,065,338,655","1,049,241,595",Null,109.3,67,No Correction,South Coast
San Diego  City of,Level 2 Drought Alert + Perm Mandatory Restriction,Yes,15-Jul,14044.7,19712.9,3743,100.9,92.9,1013,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2015, and dividing it by total water produced in FY 2015.  Also, we are using the 2015 population estimate for San Diego recently released by the Department of Finance.  Also, the numbers for CII and Commercial Agriculture will reflect usage billed in July 2015 as an estimated for water delivered in the same month.",1314290,60.54,"San Diego’s Municipal Code was revised in June 2015 (effective July 1, 2015) to mandate 2 assigned watering days per week with a maximum run time of 5 minutes per station per day, to prohibit irrigation during and within 48 hours after significant rain defined as at least 1/8 of an inch, along with other modifications.","San Diego offered new Fiscal Year 2016 funding for grass replacement and micro-spray irrigation rebates, and all of the funds (over $1 million) were committed by 5 pm of the same day the program started (July 1).  Grass replacement rebates assist with the Governor’s call to replace 50,000,000 square feet of turf, and the July 1 funds are expected to replace approximately 820,000 square feet of turf.",16%,Yes,"4,543,607,128","6,393,204,998","1,219,661,891",60.5,53.9,No Correction,South Coast
San Diego  City of,Level 2 Drought Alert + Perm Mandatory Restriction,Yes,15-Jun,14145.2,18655.6,3314,85.7,86.2,850,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2015, and dividing it by total water produced in FY 2015.  Also, we are using the 2015 population estimate for San Diego recently released by the Department of Finance.  Also, the numbers for CII and Commercial Agriculture will reflect usage billed in June 2015 as an estimated for water delivered in the same month. ",1314290,63.01,"San Diego’s Municipal Code was revised in June 2015 to mandate 2 assigned watering days per week with a maximum run time of 5 minutes per station per day, to prohibit irrigation during and within 48 hours after significant rain defined as at least 1/8 of an inch, along with other modifications.  Enforcement work schedules have been modified to allow staff to patrol and respond to complaints as early as 5:30 am on weekdays and also work on weekends.",The required certification for Commercial Ag water usage was sent to State Board staff via email and regular mail.,16%,Yes,"4,581,308,138","6,050,865,489","1,079,871,629",63,53.9,No Correction,South Coast
San Diego  City of,Level 2 Drought Alert + Perm Mandatory Restriction,Yes,15-May,12975.9,17581.1,3680,,,1117,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.  Also, we are using the 2015 population estimate for San Diego recently released by the Department of Finance.  Also, the numbers for CII and Commercial Agriculture will reflect usage billed in May 2015 as an estimated for water delivered in the same month.  As of 6/19, we are still collecting the commercial agriculture number.",1314290,55.73,"San Diego Mayor Kevin Faulconer announced stepped up enforcement efforts.  Instead of sending out letters and educating customers on drought restrictions, the first correspondence for observed water waste will be a notice of violation, which will be followed by a citation if the problem is not corrected.  ","Enforcement work schedules have been modified to allow staff to patrol and respond to complaints as early as 5:30 am on weekdays and also work on weekends.  All outreach materials encourage outdoor watering to be cut to 2 assigned days per week, and will be enforced when the Municipal Code is changed in late June 2015.  ",NULL,No,"4,228,215,532","5,728,826,523","1,199,133,251",55.7,53.7,No Correction,South Coast
San Diego  City of,Level 2 Drought Alert + Perm Mandatory Restriction,Yes,15-Apr,14878,15421,,,,677,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.  Also, we are using the 2015 population estimate for San Diego recently released by the Department of Finance.",1314290,66.03,"San Diego Mayor Kevin Faulconer announced stepped up enforcement efforts.  Instead of sending out letters and educating customers on drought restrictions, the first correspondence for observed water waste will be a notice of violation, which will be followed by a citation if the problem is not corrected.  The penalties reported for April 2015 includes penalties issued for water theft.  ","Unlike many parts of the state, the City of San Diego was implementing mandatory water use restrictions in 2013, making monthly reductions in water use from the base year a big challenge.  The mean temperature in April 2015 was almost 4 degrees warmer than April 2013. ",NULL,No,"4,848,017,531","5,024,954,856",Null,66,53.7,No Correction,South Coast
San Diego  City of,Level 2 Drought Alert + Perm Mandatory Restriction,Yes,15-Mar,14418,13810,,,,581,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1292496,62.97,San Diego hired additional field staff and initiated drive-by and proactive enforcement in the community (rather than complaint driven enforcement.),"Unlike many parts of the state, the City of San Diego was implementing mandatory water use restrictions in 2013, making monthly reductions in water use from the base year a big challenge.  The mean temperature in March 2015 was almost 6 degrees warmer than March 2013, and rainfall this year was almost an inch less than normal.  ",NULL,No,"4,698,125,874","4,500,008,207",Null,63,53.7,No Correction,South Coast
San Diego  City of,Level 2 Mandatory and Permanent Mandatory Restrict,Yes,15-Feb,12196,11259,,,,532,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1292496,58.97,"In January, the City received a total of 366 initial water waste complaints, up from 309 initial complaints in January.  No fines or citations have been issued so far, citizens are cooperating.","With a mean temperature of 63.1 degrees, last month’s temperature was 5.2 degrees warmer than normal and almost 7 degrees warmer than February 2013.  Rainfall accounted for only 0.63 inches for what traditionally is one of San Diego’s wettest month, averaging 2.27 inches of rain normally.  These hot and dry weather conditions are affecting water usage locally, despite calls to keep sprinklers off after rainstorms.",NULL,No,"3,974,084,004","3,668,761,217",Null,59,53.7,No Correction,South Coast
San Diego  City of,Level 2 Drought Alert ,Yes,15-Jan,12606.7,12120.2,,,,510,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1292496,55.06,"In January, the City received a total of 265 initial water waste complaints.  No fines or citations have been issued so far, citizens are cooperating.","With a mean temperature of 60.8 degrees, January 2015 was 5 degrees warmer than January 2013 according to the National Weather Service reported February 9, 2015.  Rainfall accounted for .42 inches.  Only two days received more that .10 inch of precipitation in a month that is traditionally San Diego's wettest, averaging almost 2 inches of rain.  Compared to January 2014, which was more similar to 2015 than 2013, the City of San Diego reduced water use by 18.8% indicating that San Diegans are responding to the call for conservation.",NULL,No,"4,107,911,185","3,949,384,466",Null,55.1,53.7,No Correction,South Coast
San Diego  City of,Level 2 Mandatory and Permanent Mandatory Restrict,Yes,14-Dec,10550.9,13946.7,,,,957.6,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1292496,46.08,"While average temperature in San Diego was still 4 degrees warmer than normal, rain totals for December reached 4.5 inches or almost 1.5 inches more than normal.  Constant messaging reminding San Diegans to turn off sprinklers in anticipation of rain has helped reduce overall demand.   The rain also reduced incidents of reported water waste.  In December, the City received a total of 309 initial water waste complaints, down from 773 initial complaints in November.  No fines or citations have been issued so far, citizens are cooperating.","The National Weather Service reports that last year was San Diego’s warmest since record keeping on weather began in 1872.  The average combined high and low temperature was 4 degrees above normal.  Almost every day in 2014, with the exception of a mere 24 days, was warmer than average.  This unusual weather likely affected water use throughout 2014, when compared to 2013, even with conservation practices and mandatory water use restrictions in place. ",NULL,No,"3,438,025,821","4,544,552,097",Null,46.1,53.7,No Correction,South Coast
San Diego  City of,Level 2 Mandatory and Permanent Mandatory Restrict,Yes,14-Nov,14298,14391,,,,1438,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1292496,64.5,"The City of City Diego implemented Drought Response Level 2 (Drought Alert) beginning November 1, 2014.  On top of permanent water use restrictions already in place, Level 2 assigned mandatory watering days and length of sprinkler run times among other restrictions.  In November, the City received a total of 773 initial water waste complaints, down slightly from 831 initial complaints in October but still higher than the 300 average in prior months.  Of that total amount, 277 were reported through the new smartphone app.  Runoff complaints (131) were handled by the City’s Storm Water Program handled.  No fines or citations have been issued so far, citizens are cooperating.","November 2014 is the city’s second warmest November on record, as reported by the San Diego Union-Tribune on December 3, 2014. The average temperature for the month was 65.6 degrees which was 4.3 degrees warmer than normal.  November 2014 was San Diego’s 13th straight warmer-than-normal month.  Also, in anticipation of any rain, messages are sent out to turn off irrigation systems and “let the rain do the watering.”",NULL,No,"4,659,023,703","4,689,327,886",Null,64.5,53.7,No Correction,South Coast
San Diego  City of,Level 2 Drought Alert,Yes,14-Oct,17472,17031,,,,1510,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1292496,76.3,"The City of City Diego launched a smart phone app for reporting water waste (Waste No Water).  Within a month, this app has been downloaded onto 1,250 phones.  In October, the City received a total of 831 water waste complaints, up from 302 in September.  Of that total amount, 244 were reported through the new app.  This app also allows reporting parties to view the status of their complaints, a feature that is attractive to users.  No fines or citations have been issued so far, citizens are cooperating.","The unusual hot weather in San Diego continued into October.  The average temperature was 71.8 degrees which was 5.5 degrees warmer than normal and almost 6 degrees warmer than October 2013.  San Diego also did not record any rain last month, compared to 0.25 inches in October 2013.  The City sends messages out to turn off irrigation systems and “let the rain do the watering” during rain events, which help lower overall monthly consumption. These conditions contributed to a slight increase in consumption for October this year when compared to October of last year.",NULL,No,"5,693,276,133","5,549,575,653",Null,76.3,53.7,No Correction,South Coast
San Diego  City of,Permanent Mandatory Restrictions,Yes,14-Sep,18134,18720,,,,1494,AF,"Residential use was estimated by adding metered consumption of single-family residential accounts, multi-family residential accounts and residential irrigation accounts for the most recent Fiscal Year, and dividing it by total water produced in the same Fiscal Year.",1292496,81.83,"The City of San Diego continues to receive a lot of water waste complaints - a total of 302 received in September, representing a 280% increase over the 2013 monthly average.  The City also secured the services of the San Diego Police Department's Reserved Senior Volunteer Patrol (RSVP) to identify and address water waste.  They patrol city streets from 6:30 am to midnight.  No fines or citations have been issued so far.  Citizens are cooperating.  ","The City of San Diego boosted outreach efforts and added $250,000 in media buys for both FY 2014 and FY 2015 to promote the water conservation message.  Even with the increase in funding for landscape retrofit rebates this year, the significant increase in program participation has resulted in over $1 Million in rebates being accounted for within the first 10 weeks of the program.  Also, the record heat experienced in San Diego continued into September.  The average low temperature for September 2014 was almost 71 degrees, while normal average low temperature is 65 degrees.",NULL,No,"5,908,989,777","6,099,938,713",Null,81.8,53.7,No Correction,South Coast
San Diego  City of,Permanent Mandatory Restrictions,Yes,14-Aug,18654,19522,,,,,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1324305,,"Water waste complaints continue to go up, from 250 received in July to 334 received in August. Current methods publicized to report water waste are via phone or email.  Currently tapping hourly meter readers and other City employees to report and/or investigate water waste.  No fines or citations issued so far, citizens cooperating.","The City of San Diego boosted outreach efforts and added $250,000 in media buys in both FY 2014 and FY 2015 to promote the water conservation message.  With the increase in funding for landscape retrofit rebates by adding over half a million dollars ($550,000) per year of operating funds and two full-time positions for grass replacement, the City is seeing a significant increase in participation in its rebate program.  Also, the record heat experienced in San Diego during first 6 months of 2014 has continued.  The average daily temperatures in August 2014 were about 2 degrees above normal, while temperatures were slightly below average in August 2013.",NULL,No,"6,078,432,519","6,361,271,558",Null,79.5,53.7,No Correction,South Coast
San Diego  City of,Permanent Mandatory Restrictions,Yes,14-Jul,19848,19682,,,,,AF,"Residential use was estimated by looking at metered consumption of single-family and multi-family residential accounts, and residential irrigation accounts for FY 2014, and dividing it by total water produced in FY 2014.",1324305,,"Water waste complaints have gone up 300% in July, compared to normal monthly average.  Current methods publicized to report water waste is via phone or email.  Currently tapping hourly meter readers and other City employees to report and/or investigate water waste.  No fines or citations issued so far, citizens are cooperating.","The City of San Diego boosted outreach efforts and added $250,000 in media buys in both FY 2014 and FY 2015 to promote the water conservation message.  City also boosted funding for landscape retrofit rebates by adding over half a million dollars ($550,000) per year of operating funds and 2.0 full-time positions for grass replacement, micro irrigation retrofit, and rain barrels.  Also, the first 6 months of 2014 has been declared the hottest on record in San Diego, dating back to the late 1800's.  ",NULL,No,"6,467,499,123","6,413,407,786",Null,84.6,53.7,No Correction,South Coast
